,Unnamed: 0,disp_id,client_id,account_id,type,birth_number,client_district_id,client_district_name,client_district_region,client_district_no. of inhabitants,client_district_no. of municipalities with inhabitants < 499,client_district_no. of municipalities with inhabitants 500-1999,client_district_no. of municipalities with inhabitants 2000-9999,client_district_no. of municipalities with inhabitants >10000,client_district_no. of cities,client_district_ratio of urban inhabitants,client_district_average salary,client_district_unemploymant rate '95,client_district_unemploymant rate '96,client_district_no. of enterpreneurs per 1000 inhabitants,client_district_no. of commited crimes '95,client_district_no. of commited crimes '96,account_district_id,frequency,date,account_district_name,account_district_region,account_district_no. of inhabitants,account_district_no. of municipalities with inhabitants < 499,account_district_no. of municipalities with inhabitants 500-1999,account_district_no. of municipalities with inhabitants 2000-9999,account_district_no. of municipalities with inhabitants >10000,account_district_no. of cities,account_district_ratio of urban inhabitants,account_district_average salary,account_district_unemploymant rate '95,account_district_unemploymant rate '96,account_district_no. of enterpreneurs per 1000 inhabitants,account_district_no. of commited crimes '95,account_district_no. of commited crimes '96,gender
24,2641,2795,2795,2309,DISPONENT,680413,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,951203,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
25,2686,2841,2841,2350,OWNER,730410,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,960804,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
26,2744,2900,2900,2402,OWNER,230322,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,971106,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
27,2767,2924,2924,2421,OWNER,410206,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,950111,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
28,2768,2925,2925,2421,DISPONENT,470908,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,950111,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
29,2834,2994,2994,2479,OWNER,630722,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,931009,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
30,2879,3042,3042,2520,OWNER,680214,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,950725,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
31,3015,3182,3182,2636,OWNER,250422,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,961126,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
32,3118,3292,3292,2726,OWNER,400121,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,950420,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
33,3216,3396,3396,2812,OWNER,770303,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,960705,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
34,3417,3607,3607,2987,OWNER,460729,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,930916,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
35,3435,3627,3627,3003,OWNER,810608,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,931127,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
36,3526,3723,3723,3079,OWNER,680901,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,960226,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
37,3535,3735,3735,3088,OWNER,380117,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,960308,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
38,3536,3736,3736,3088,DISPONENT,320722,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,960308,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
39,3559,3760,3760,3109,OWNER,550104,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,950408,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
40,3624,3830,3830,3167,OWNER,680224,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,940808,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
41,3652,3858,3858,3192,OWNER,480614,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,960728,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
42,3653,3859,3859,3192,DISPONENT,410503,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,960728,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
43,3766,3978,3978,3287,OWNER,701215,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,930726,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
44,4042,4273,4273,3540,OWNER,761129,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,970103,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
45,4064,4295,4295,3559,OWNER,600316,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,951230,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
46,4114,4345,4345,3602,OWNER,740929,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,961203,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
47,4143,4382,4382,3633,OWNER,801020,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,970206,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
48,4355,4605,4605,3821,OWNER,800909,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,960418,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
49,4449,4708,4708,3904,OWNER,500714,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,961005,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
50,4470,4729,4729,3921,OWNER,450707,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,940717,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
51,5157,10963,11271,9156,OWNER,371208,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,2,970914,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
52,5334,13182,13490,10973,OWNER,690525,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,18,1,930420,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
53,4626,5107,5107,4237,OWNER,471006,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123.0,2134,18,2,931129,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
54,4627,5108,5108,4237,DISPONENT,440522,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123.0,2134,18,2,931129,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,M
55,1306,1376,1376,1145,OWNER,580903,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,31,2,930703,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
56,1307,1377,1377,1145,DISPONENT,510723,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740.0,1910,31,2,930703,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
57,4787,6052,6052,5011,OWNER,490406,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949.0,6872,31,2,930825,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
58,4670,5246,5246,4355,OWNER,820515,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878.0,10108,31,2,930221,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
59,4918,7753,7753,6425,OWNER,780923,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878.0,10108,31,2,930329,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
60,98,105,105,88,OWNER,800526,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,960703,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
61,131,141,141,117,OWNER,251102,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,930905,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
62,136,146,146,122,OWNER,611219,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,961030,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
63,165,175,175,145,OWNER,600713,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,960103,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
64,192,203,203,168,OWNER,620610,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,930427,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
65,193,204,204,168,DISPONENT,670617,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,930427,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
66,243,259,259,215,OWNER,660608,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,971125,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
67,244,260,260,215,DISPONENT,620224,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,971125,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
68,608,639,639,531,OWNER,780802,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,950818,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
69,669,702,702,584,OWNER,681107,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,960714,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
70,681,714,714,596,OWNER,701008,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,941013,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
71,723,756,756,629,OWNER,200513,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,940725,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
72,766,808,808,673,OWNER,631128,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,971208,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
73,856,903,903,753,OWNER,340306,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,960814,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
74,950,1003,1003,833,OWNER,371031,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,960829,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
75,968,1022,1022,848,OWNER,400723,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,960616,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
76,1408,1488,1488,1233,OWNER,610109,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,960208,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
77,1460,1542,1542,1277,OWNER,191208,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,930620,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
78,1461,1543,1543,1277,DISPONENT,270602,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,930620,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
79,1550,1641,1641,1354,OWNER,230128,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,970621,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
80,1746,1851,1851,1527,OWNER,750912,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,0,931117,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
81,2031,2148,2148,1772,OWNER,530720,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,1,950220,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
82,2079,2196,2196,1812,OWNER,550216,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,961008,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
83,2256,2383,2383,1960,OWNER,470101,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,971204,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
84,2257,2384,2384,1960,DISPONENT,461217,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,971204,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
85,2350,2479,2479,2042,OWNER,590331,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,970212,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
86,2462,2596,2596,2146,OWNER,611008,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,930605,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
87,2472,2606,2606,2153,OWNER,430104,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,1,960107,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
88,2533,2675,2675,2210,OWNER,240122,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,960813,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
89,2556,2698,2698,2227,OWNER,701007,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,1,940522,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
90,2557,2699,2699,2227,DISPONENT,770223,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,1,940522,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
91,2607,2756,2756,2276,OWNER,190928,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,931022,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
92,2624,2776,2776,2293,OWNER,340607,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,930213,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
93,2630,2782,2782,2298,OWNER,400913,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,930703,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
94,2968,3133,3133,2597,OWNER,730420,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,970316,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
95,3001,3166,3166,2624,OWNER,550614,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,960328,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
96,3146,3322,3322,2751,OWNER,480229,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,31,2,950428,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328.0,1452,M
