disp_id,client_id,account_id,type,birth_number,client_district_id,client_district_name,client_district_region,client_district_no. of inhabitants,client_district_no. of municipalities with inhabitants < 499,client_district_no. of municipalities with inhabitants 500-1999,client_district_no. of municipalities with inhabitants 2000-9999,client_district_no. of municipalities with inhabitants >10000,client_district_no. of cities,client_district_ratio of urban inhabitants,client_district_average salary,client_district_unemploymant rate '95,client_district_unemploymant rate '96,client_district_no. of enterpreneurs per 1000 inhabitants,client_district_no. of commited crimes '95,client_district_no. of commited crimes '96,district_id,frequency,date
1410,1410,1171,OWNER,440203,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,971220
1411,1411,1171,DISPONENT,395806,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,971220
1574,1574,1301,OWNER,790218,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,940915
1883,1883,1552,OWNER,616027,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,940102
1978,1978,1632,OWNER,525522,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,weekly issuance,960113
2103,2103,1733,OWNER,445204,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960420
2139,2139,1765,OWNER,325306,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960721
2140,2140,1765,DISPONENT,261018,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960721
2176,2176,1796,OWNER,460716,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,951014
2329,2329,1919,OWNER,730102,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,941204
2517,2517,2076,OWNER,240909,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960917
2518,2518,2076,DISPONENT,215507,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960917
2631,2631,2174,OWNER,700521,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,971024
2632,2632,2174,DISPONENT,635225,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,971024
2794,2794,2309,OWNER,650122,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,951203
2795,2795,2309,DISPONENT,685413,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,951203
2841,2841,2350,OWNER,735410,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960804
2900,2900,2402,OWNER,230322,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,971106
2924,2924,2421,OWNER,415206,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,950111
2925,2925,2421,DISPONENT,470908,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,950111
2994,2994,2479,OWNER,630722,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,931009
3042,3042,2520,OWNER,685214,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,950725
3182,3182,2636,OWNER,255422,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,961126
3292,3292,2726,OWNER,400121,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,950420
3396,3396,2812,OWNER,775303,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960705
3607,3607,2987,OWNER,465729,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,930916
3627,3627,3003,OWNER,815608,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,931127
3691,3691,3053,OWNER,650417,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,11,monthly issuance,930823
3723,3723,3079,OWNER,680901,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960226
3735,3735,3088,OWNER,380117,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960308
3736,3736,3088,DISPONENT,325722,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960308
3760,3760,3109,OWNER,550104,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,950408
3830,3830,3167,OWNER,685224,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,940808
3858,3858,3192,OWNER,485614,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960728
3859,3859,3192,DISPONENT,410503,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960728
3883,3883,3210,OWNER,650927,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,1,monthly issuance,930517
3967,3967,3277,OWNER,605926,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,36,monthly issuance,930712
3968,3968,3277,DISPONENT,550615,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,36,monthly issuance,930712
3978,3978,3287,OWNER,701215,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,930726
4273,4273,3540,OWNER,766129,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,970103
4295,4295,3559,OWNER,600316,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,951230
4345,4345,3602,OWNER,745929,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,961203
4382,4382,3633,OWNER,801020,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,970206
4605,4605,3821,OWNER,805909,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,960418
4708,4708,3904,OWNER,500714,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,961005
4729,4729,3921,OWNER,450707,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,940717
5441,5441,4511,OWNER,570125,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,33,monthly issuance,930926
10963,11271,9156,OWNER,371208,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,monthly issuance,970914
13182,13490,10973,OWNER,695525,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,weekly issuance,930420
2,2,2,OWNER,450204,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930226
3,3,2,DISPONENT,406009,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930226
22,22,17,OWNER,696011,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970108
23,23,17,DISPONENT,730529,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970108
28,28,22,OWNER,450929,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,940323
58,58,49,OWNER,275429,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970406
59,59,50,OWNER,570218,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,940506
66,66,57,OWNER,516110,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,950521
77,77,66,OWNER,565218,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,48,issuance after transaction,931203
83,83,71,OWNER,786225,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,940305
84,84,71,DISPONENT,790505,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,940305
85,85,72,OWNER,610827,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,weekly issuance,960620
86,86,72,DISPONENT,695720,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,weekly issuance,960620
89,89,75,OWNER,515505,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,950813
107,107,90,OWNER,720623,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,940713
112,112,95,OWNER,350125,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,950330
113,113,95,DISPONENT,405815,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,950330
120,120,99,OWNER,760510,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,950627
183,183,152,OWNER,785319,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960412
184,184,152,DISPONENT,720605,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960412
193,193,160,OWNER,620501,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,23,monthly issuance,930904
216,216,177,OWNER,600130,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970926
218,218,179,OWNER,805123,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,weekly issuance,970922
226,226,186,OWNER,420616,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,weekly issuance,930729
239,239,197,OWNER,745910,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930225
247,247,205,OWNER,570508,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,971008
275,275,229,OWNER,186112,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970607
276,276,230,OWNER,570611,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960226
277,277,230,DISPONENT,616128,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960226
300,300,248,OWNER,575730,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,950402
328,328,271,OWNER,185124,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960813
331,331,274,OWNER,420302,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,76,monthly issuance,930820
339,339,281,OWNER,660730,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,961027
340,340,281,DISPONENT,705819,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,961027
351,351,289,OWNER,730501,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,940317
356,356,293,OWNER,796207,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970504
357,357,293,DISPONENT,790330,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970504
365,365,300,OWNER,300109,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930623
366,366,300,DISPONENT,366110,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930623
396,396,324,OWNER,200502,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960823
400,400,328,OWNER,331227,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970918
401,401,328,DISPONENT,286119,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970918
416,416,340,OWNER,326007,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,931103
417,417,340,DISPONENT,300610,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,931103
424,424,347,OWNER,471008,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,65,monthly issuance,931213
441,441,363,OWNER,590914,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,940506
442,442,364,OWNER,716216,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970120
443,443,364,DISPONENT,711220,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970120
445,445,366,OWNER,475427,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,961023
446,446,366,DISPONENT,520319,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,961023
466,466,386,OWNER,476119,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970811
467,467,386,DISPONENT,500417,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970811
473,473,392,OWNER,395925,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960714
476,476,395,OWNER,475601,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930312
477,477,395,DISPONENT,540720,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930312
483,483,399,OWNER,440619,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960827
487,487,403,OWNER,225401,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930729
488,488,403,DISPONENT,170802,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930729
494,494,409,OWNER,800519,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960611
500,500,414,OWNER,710106,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960129
515,515,428,OWNER,320526,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930227
516,516,428,DISPONENT,305427,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930227
522,522,434,OWNER,565304,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,961224
537,537,446,OWNER,350116,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,50,monthly issuance,930615
552,552,460,OWNER,345508,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,940418
553,553,460,DISPONENT,410407,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,940418
574,574,477,OWNER,721225,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930125
577,577,479,OWNER,636205,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,951105
582,582,484,OWNER,500926,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,950120
598,598,498,OWNER,701231,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,931121
599,599,498,DISPONENT,775518,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,931121
604,604,502,OWNER,655731,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,971013
605,605,503,OWNER,705827,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960808
613,613,510,OWNER,775810,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,weekly issuance,930602
643,643,534,OWNER,495613,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970526
653,653,542,OWNER,306121,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,931101
656,656,545,OWNER,560606,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,54,monthly issuance,931124
668,668,555,OWNER,426225,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,24,monthly issuance,930515
670,670,557,OWNER,590121,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,951126
688,688,573,OWNER,540504,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,weekly issuance,960711
697,697,579,OWNER,740501,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,971216
706,706,588,OWNER,480805,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,66,monthly issuance,930314
707,707,589,OWNER,411214,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970426
709,709,591,OWNER,341229,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970812
715,715,597,OWNER,525115,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,41,monthly issuance,931205
716,716,598,OWNER,546204,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970208
735,735,612,OWNER,731126,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960527
736,736,612,DISPONENT,775426,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960527
742,742,618,OWNER,516015,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,961002
743,743,619,OWNER,410217,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,weekly issuance,950909
766,766,639,OWNER,265703,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,971103
767,767,639,DISPONENT,230616,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,971103
776,776,647,OWNER,535503,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970428
777,777,647,DISPONENT,610520,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970428
796,796,664,OWNER,190830,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,961208
826,826,689,OWNER,780123,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960424
859,859,717,OWNER,685729,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,75,monthly issuance,930424
860,860,717,DISPONENT,671208,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,75,monthly issuance,930424
861,861,718,OWNER,565913,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,960303
876,876,730,OWNER,601125,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,4,monthly issuance,930828
904,904,754,OWNER,320208,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,950608
910,910,760,OWNER,610927,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970524
913,913,763,OWNER,381118,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,950223
914,914,764,OWNER,215119,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930108
924,924,772,OWNER,530712,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,45,monthly issuance,930121
926,926,774,OWNER,810122,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,930608
927,927,775,OWNER,741026,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,941218
937,937,783,OWNER,311114,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970908
954,954,796,OWNER,426020,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,monthly issuance,970213
